user_id,product_id,interaction_type,skin_type,event_type
1,510,like,oily,natural
1,464,purchase,oily,natural
1,290,view,oily,natural
1,1525,purchase,oily,natural
1,212,like,oily,natural
1,1402,view,oily,natural
1,1533,view,oily,natural
1,1133,purchase,oily,natural
1,180,view,oily,natural
1,1226,view,oily,natural
1,878,view,oily,natural
1,67,purchase,oily,natural
1,63,like,oily,natural
1,194,purchase,oily,natural
1,454,like,oily,natural
1,484,like,oily,natural
1,1051,purchase,oily,natural
1,1249,view,oily,natural
1,56,like,oily,natural
1,1164,like,oily,natural
1,415,view,oily,natural
1,1484,like,oily,natural
1,1347,view,oily,natural
1,1454,like,oily,natural
1,1130,view,oily,natural
1,871,view,oily,natural
1,460,view,oily,natural
1,932,view,oily,natural
2,933,view,dry,natural
2,1306,purchase,dry,natural
2,750,view,dry,natural
2,334,purchase,dry,natural
2,761,purchase,dry,natural
2,729,like,dry,natural
2,430,view,dry,natural
2,1377,purchase,dry,natural
2,547,like,dry,natural
2,1442,like,dry,natural
2,1404,view,dry,natural
2,1332,like,dry,natural
2,147,purchase,dry,natural
2,1252,like,dry,natural
2,1305,view,dry,natural
2,351,view,dry,natural
2,1098,like,dry,natural
2,1498,like,dry,natural
2,502,like,dry,natural
2,337,view,dry,natural
2,957,view,dry,natural
2,787,view,dry,natural
2,559,purchase,dry,natural
2,1325,view,dry,natural
2,1427,view,dry,natural
2,1152,like,dry,natural
2,454,like,dry,natural
2,1420,view,dry,natural
3,791,like,dry,festival
3,784,purchase,dry,festival
3,1225,purchase,dry,festival
3,963,view,dry,festival
3,1088,like,dry,festival
3,515,view,dry,festival
3,1138,purchase,dry,festival
3,24,purchase,dry,festival
3,1398,view,dry,festival
3,1481,like,dry,festival
3,235,like,dry,festival
3,1401,view,dry,festival
3,1104,purchase,dry,festival
3,1542,like,dry,festival
3,547,purchase,dry,festival
3,1590,view,dry,festival
3,1324,view,dry,festival
3,701,view,dry,festival
3,230,view,dry,festival
3,606,like,dry,festival
3,897,like,dry,festival
3,326,like,dry,festival
4,1179,view,combination,office
4,163,like,combination,office
4,177,view,combination,office
4,1516,purchase,combination,office
4,1013,like,combination,office
4,143,view,combination,office
4,1575,view,combination,office
4,1108,view,combination,office
4,1586,like,combination,office
4,262,like,combination,office
4,267,view,combination,office
4,1369,like,combination,office
4,990,view,combination,office
4,1143,view,combination,office
4,343,view,combination,office
4,551,view,combination,office
4,1098,like,combination,office
4,1260,view,combination,office
4,874,view,combination,office
4,440,view,combination,office
4,1116,like,combination,office
4,1563,like,combination,office
4,1510,view,combination,office
4,1428,view,combination,office
4,418,view,combination,office
4,1476,view,combination,office
4,646,view,combination,office
5,973,purchase,normal,wedding
5,1511,view,normal,wedding
5,112,like,normal,wedding
5,1397,view,normal,wedding
5,1356,like,normal,wedding
5,1341,view,normal,wedding
5,204,view,normal,wedding
5,126,purchase,normal,wedding
5,838,view,normal,wedding
5,1509,purchase,normal,wedding
5,705,like,normal,wedding
5,226,like,normal,wedding
5,518,purchase,normal,wedding
5,398,purchase,normal,wedding
5,395,like,normal,wedding
5,1116,like,normal,wedding
5,935,view,normal,wedding
5,292,view,normal,wedding
5,879,purchase,normal,wedding
5,381,like,normal,wedding
5,579,like,normal,wedding
5,964,like,normal,wedding
5,520,view,normal,wedding
5,157,view,normal,wedding
5,922,view,normal,wedding
5,1146,like,normal,wedding
5,203,view,normal,wedding
5,104,purchase,normal,wedding
5,1355,view,normal,wedding
5,1126,view,normal,wedding
5,31,view,normal,wedding
5,194,view,normal,wedding
5,1567,view,normal,wedding
6,1285,view,oily,evening
6,169,purchase,oily,evening
6,872,view,oily,evening
6,1363,like,oily,evening
6,1212,purchase,oily,evening
6,1174,purchase,oily,evening
6,1087,view,oily,evening
6,658,view,oily,evening
6,543,view,oily,evening
6,424,purchase,oily,evening
6,1388,purchase,oily,evening
6,1483,purchase,oily,evening
6,654,view,oily,evening
6,496,view,oily,evening
6,548,like,oily,evening
6,817,like,oily,evening
6,270,view,oily,evening
6,1389,purchase,oily,evening
6,1333,view,oily,evening
6,619,view,oily,evening
6,944,like,oily,evening
7,550,view,combination,festival
7,239,view,combination,festival
7,222,view,combination,festival
7,1538,purchase,combination,festival
7,1151,view,combination,festival
7,323,like,combination,festival
7,566,like,combination,festival
7,586,like,combination,festival
7,1256,view,combination,festival
7,438,purchase,combination,festival
7,1487,like,combination,festival
7,712,view,combination,festival
7,422,view,combination,festival
7,1425,view,combination,festival
7,1316,like,combination,festival
7,549,like,combination,festival
7,1046,view,combination,festival
7,1011,view,combination,festival
7,520,like,combination,festival
7,105,purchase,combination,festival
7,190,view,combination,festival
7,1312,view,combination,festival
7,878,view,combination,festival
7,575,view,combination,festival
8,492,purchase,combination,evening
8,337,purchase,combination,evening
8,368,view,combination,evening
