experiment,seed,epochs,beta,beta_warmup,Val_AUC,Recall@5,Recall@10,Recall@20,NDCG@5,NDCG@10,NDCG@20,HitRate@5,HitRate@10,HitRate@20
Random,42,0,0.0,0,0.0,0.005,0.005,0.005,0.0019,0.0019,0.0019,0.005,0.005,0.005
Random,123,0,0.0,0,0.0,0.005,0.015,0.02,0.0022,0.0057,0.0069,0.005,0.015,0.02
Random,256,0,0.0,0,0.0,0.0,0.0,0.02,0.0,0.0,0.0053,0.0,0.0,0.02
Popularity,42,0,0.0,0,0.0,0.01,0.02,0.035,0.0075,0.0105,0.0142,0.01,0.02,0.035
Popularity,123,0,0.0,0,0.0,0.01,0.02,0.035,0.0075,0.0105,0.0142,0.01,0.02,0.035
Popularity,256,0,0.0,0,0.0,0.01,0.02,0.035,0.0075,0.0105,0.0142,0.01,0.02,0.035
Pop+Boost,42,0,0.0,0,0.0,0.015,0.025,0.03,0.0097,0.0127,0.0139,0.015,0.025,0.03
Pop+Boost,123,0,0.0,0,0.0,0.015,0.025,0.03,0.0097,0.0127,0.0139,0.015,0.025,0.03
Pop+Boost,256,0,0.0,0,0.0,0.015,0.025,0.03,0.0097,0.0127,0.0139,0.015,0.025,0.03
VGAE_BPR_baseline,42,500,0.1,0,0.837,0.0,0.005,0.015,0.0,0.0015,0.0041,0.0,0.005,0.015
VGAE_BPR_baseline,123,500,0.1,0,0.83,0.0,0.005,0.01,0.0,0.0016,0.0028,0.0,0.005,0.01
VGAE_BPR_baseline,256,500,0.1,0,0.841,0.01,0.01,0.015,0.005,0.005,0.0063,0.01,0.01,0.015
Exp1_KL_anneal,42,500,0.001,50,0.9118,0.005,0.015,0.03,0.0,0.008,0.012,0.0,0.015,0.0
Exp1_KL_anneal,123,500,0.001,50,0.9025,0.015,0.02,0.04,0.0,0.0129,0.0179,0.0,0.02,0.0
Exp1_KL_anneal,256,500,0.001,50,0.9031,0.005,0.02,0.05,0.0,0.0067,0.0138,0.0,0.02,0.0
Exp2_deterministic,42,500,0.001,50,0.9178,0.01,0.015,0.03,0.0,0.0072,0.0108,0.0,0.015,0.0
Exp2_deterministic,123,500,0.001,50,0.9157,0.015,0.015,0.025,0.0,0.0094,0.0118,0.0,0.015,0.0
Exp2_deterministic,256,500,0.001,50,0.913,0.01,0.015,0.025,0.0,0.0064,0.0088,0.0,0.015,0.0
Exp3_multilayer_det,42,500,0.001,50,0.918,0.005,0.01,0.025,0.0,0.0064,0.0102,0.0,0.01,0.0
Exp3_multilayer_det,123,500,0.001,50,0.913,0.01,0.025,0.045,0.0,0.0098,0.0147,0.0,0.025,0.0
Exp3_multilayer_det,256,500,0.001,50,0.9161,0.01,0.015,0.025,0.0,0.0064,0.0088,0.0,0.015,0.0
Exp4_lgcn_init,42,500,0.0001,0,0.8444,0.005,0.005,0.01,0.0,0.0032,0.0045,0.0,0.005,0.0
Exp4_lgcn_init,123,500,0.0001,0,0.8203,0.005,0.01,0.025,0.0,0.0066,0.0103,0.0,0.01,0.0
Exp4_lgcn_init,256,500,0.0001,0,0.8384,0.0,0.005,0.02,0.0,0.0016,0.0053,0.0,0.005,0.0
LightGCN_ref,42,500,0.0,0,0.9488,0.06,0.115,0.195,0.0,0.0602,0.0803,0.0,0.115,0.0
LightGCN_ref,123,500,0.0,0,0.9466,0.06,0.095,0.175,0.0,0.0553,0.075,0.0,0.095,0.0
LightGCN_ref,256,500,0.0,0,0.947,0.075,0.1,0.17,0.0,0.0509,0.0685,0.0,0.1,0.0
